Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.7841	6	479.9097	479.5683	1.018738	0.4385901	
Model:	mcombrat3
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
96000	1.483172	-233.7862	
97000	1.483172	-233.7862	
98000	1.446093	-233.7862	
99000	1.446093	-233.7862	
1e+05	1.409941	-233.7862	
101000	1.409941	-233.7862	
102000	1.374692	-233.7862	
103000	1.374692	-233.7862	
104000	1.340325	-233.7862	
105000	1.340325	-233.7862	
106000	1.306817	-233.7862	
107000	1.306817	-233.7862	
108000	1.274146	-233.7862	
109000	1.274146	-233.7862	
110000	1.242293	-233.7862	
111000	1.242293	-233.7862	
112000	1.211235	-233.7862	
113000	1.211235	-233.7862	
114000	1.180954	-233.7862	
115000	1.180954	-233.7862	
116000	1.15143	-233.7862	
117000	1.15143	-233.7862	
118000	1.122645	-233.7862	
119000	1.122645	-233.7862	
120000	1.094579	-233.7862	
121000	1.094579	-233.7862	
122000	1.067214	-233.7862	
123000	1.067214	-233.7862	
124000	1.040534	-233.7862	
125000	1.040534	-233.7862	
126000	1.01452	-233.7862	
127000	1.01452	-233.7862	
128000	0.9891574	-233.7862	
129000	0.9891574	-233.7862	
130000	0.9644285	-233.7862	
131000	0.9644285	-233.7862	
132000	0.9403178	-233.7862	
133000	0.9403178	-233.7862	
134000	0.9168098	-233.7862	
135000	0.9168098	-233.7862	
136000	0.8938896	-233.7862	
137000	0.8938896	-233.7862	
138000	0.8715423	-233.7862	
139000	0.8715423	-233.7862	
140000	0.8497538	-233.7862	
141000	0.8497538	-233.7862	
142000	0.8285099	-233.7862	
143000	0.8285099	-233.7862	
144000	0.8077972	-233.7862	
145000	0.8077972	-233.7862	
146000	0.7876023	-233.7862	
147000	0.7876023	-233.7862	
148000	0.7679122	-233.7862	
149000	0.7679122	-233.7862	
150000	0.7487144	-233.7862	
151000	0.7487144	-233.7862	
152000	0.7299965	-233.7862	
153000	0.7299965	-233.7862	
154000	0.7117466	-233.7862	
155000	0.7117466	-233.7862	
156000	0.693953	-233.7862	
157000	0.693953	-233.7862	
158000	0.6766041	-233.7862	
159000	0.6766041	-233.7862	
160000	0.659689	-233.7862	
161000	0.659689	-233.7862	
162000	0.6431968	-233.7862	
163000	0.6431968	-233.7862	
164000	0.6271169	-233.7862	
165000	0.6271169	-233.7862	
166000	0.611439	-233.7862	
167000	0.611439	-233.7862	
168000	0.596153	-233.7862	
169000	0.596153	-233.7862	
170000	0.5812492	-233.7862	
171000	0.5812492	-233.7862	
172000	0.5667179	-233.7862	
173000	0.5667179	-233.7862	
173002.8	0.5667179	-233.7848	
174000	0.55255	-233.7848	
175000	0.55255	-233.7848	
175129	0.55255	-233.7841	
176000	0.5387362	-233.7841	
177000	0.5387362	-233.7841	
178000	0.5252678	-233.7841	
179000	0.5252678	-233.7841	
180000	0.5121361	-233.7841	
181000	0.5121361	-233.7841	
182000	0.4993327	-233.7841	
183000	0.4993327	-233.7841	
184000	0.4868494	-233.7841	
185000	0.4868494	-233.7841	
186000	0.4746782	-233.7841	
187000	0.4746782	-233.7841	
188000	0.4628112	-233.7841	
189000	0.4628112	-233.7841	
190000	0.4512409	-233.7841	
191000	0.4512409	-233.7841	
192000	0.4399599	-233.7841	
193000	0.4399599	-233.7841	
194000	0.4289609	-233.7841	
195000	0.4289609	-233.7841	
196000	0.4182369	-233.7841	
197000	0.4182369	-233.7841	
198000	0.407781	-233.7841	
199000	0.407781	-233.7841	
2e+05	0.3975864	-233.7841	
