year,npp,npp_qc,gpp,site_code,sp_elev,sp_code,elev_code,elev,Specie
2008,474.6,11,704.5,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2008,654.8000000000001,5,1055.4,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2008,726.3000000000001,13,1226.1,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2008,713.2,9,1173.4,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2008,523.5,16,772.3000000000001,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2008,616.9000000000001,5,1005.7,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2008,767.8000000000001,20,1340.4,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2008,735.9000000000001,18,1229.4,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2008,868.3000000000001,15,1335.7,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2008,804.8000000000001,13,1266.8000000000002,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2008,707,26,1239.6,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2009,642.3000000000001,3,1059.8,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2009,316.20000000000005,8,508.6,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2009,461.2000000000001,11,694.7,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2009,634.4000000000001,3,1053.8,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2009,693.6,9,1236.4,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2009,673.5,0,1153,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2009,510.5,14,770.7,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2009,588.6,7,994.2,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2009,705.2,7,1407,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2009,654.9000000000001,16,1211.1,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2009,812.7,17,1299.9,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2009,781.8000000000001,19,1254.5,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2009,571,27,1052.8,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2010,698.9000000000001,5,1137.5,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2010,339.8,16,552.5,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2010,530.2,11,789,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2010,705.8000000000001,5,1154.6,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2010,758.2,11,1317.1,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2010,750.1,9,1262.9,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2010,588.6,9,870.9000000000001,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2010,679.4000000000001,14,1126.4,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2010,818.8000000000001,14,1529,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2010,786.9000000000001,11,1400.2,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2010,890.4000000000001,20,1383.6,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
