prec,modelo,type_value,value,name_modelo,type
77,mprecrat3,peffect,0.02225540186403524,Prec (Log-normal),univariate
77,mprecrat3,predicted,0.007202821056492924,Prec (Log-normal),univariate
78,mprecrat3,peffect,0.02312208918615653,Prec (Log-normal),univariate
78,mprecrat3,predicted,0.007483318965778432,Prec (Log-normal),univariate
79,mprecrat3,peffect,0.024006299601518212,Prec (Log-normal),univariate
79,mprecrat3,predicted,0.0077694881141517754,Prec (Log-normal),univariate
80,mprecrat3,peffect,0.024907968061125982,Prec (Log-normal),univariate
80,mprecrat3,predicted,0.008061307448914434,Prec (Log-normal),univariate
81,mprecrat3,peffect,0.025827024715269348,Prec (Log-normal),univariate
81,mprecrat3,predicted,0.00835875436364624,Prec (Log-normal),univariate
82,mprecrat3,peffect,0.026763395113212903,Prec (Log-normal),univariate
82,mprecrat3,predicted,0.008661804762834206,Prec (Log-normal),univariate
83,mprecrat3,peffect,0.02771700039748607,Prec (Log-normal),univariate
83,mprecrat3,predicted,0.008970433124753182,Prec (Log-normal),univariate
84,mprecrat3,peffect,0.028687757492832793,Prec (Log-normal),univariate
84,mprecrat3,predicted,0.009284612562618227,Prec (Log-normal),univariate
85,mprecrat3,peffect,0.029675579289891608,Prec (Log-normal),univariate
85,mprecrat3,predicted,0.009604314884031526,Prec (Log-normal),univariate
86,mprecrat3,peffect,0.030680374823679857,Prec (Log-normal),univariate
86,mprecrat3,predicted,0.00992951064874767,Prec (Log-normal),univariate
87,mprecrat3,peffect,0.03170204944696358,Prec (Log-normal),univariate
87,mprecrat3,predicted,0.010260169224783743,Prec (Log-normal),univariate
88,mprecrat3,peffect,0.03274050499859814,Prec (Log-normal),univariate
88,mprecrat3,predicted,0.010596258842901706,Prec (Log-normal),univariate
89,mprecrat3,peffect,0.033795639966927096,Prec (Log-normal),univariate
89,mprecrat3,predicted,0.01093774664949141,Prec (Log-normal),univariate
90,mprecrat3,peffect,0.034867349648332185,Prec (Log-normal),univariate
90,mprecrat3,predicted,0.011284598757884309,Prec (Log-normal),univariate
91,mprecrat3,peffect,0.035955526301027545,Prec (Log-normal),univariate
91,mprecrat3,predicted,0.011636780298127996,Prec (Log-normal),univariate
92,mprecrat3,peffect,0.03706005929419535,Prec (Log-normal),univariate
92,mprecrat3,predicted,0.011994255465253003,Prec (Log-normal),univariate
93,mprecrat3,peffect,0.03818083525255918,Prec (Log-normal),univariate
93,mprecrat3,predicted,0.012356987566063082,Prec (Log-normal),univariate
94,mprecrat3,peffect,0.039317738196494735,Prec (Log-normal),univariate
94,mprecrat3,predicted,0.01272493906448114,Prec (Log-normal),univariate
95,mprecrat3,peffect,0.04047064967777701,Prec (Log-normal),univariate
95,mprecrat3,predicted,0.013098071625482972,Prec (Log-normal),univariate
96,mprecrat3,peffect,0.04163944891106338,Prec (Log-normal),univariate
96,mprecrat3,predicted,0.01347634615765093,Prec (Log-normal),univariate
97,mprecrat3,peffect,0.042824012901212606,Prec (Log-normal),univariate
97,mprecrat3,predicted,0.013859722854379924,Prec (Log-normal),univariate
98,mprecrat3,peffect,0.0440242165665391,Prec (Log-normal),univariate
98,mprecrat3,predicted,0.014248161233767886,Prec (Log-normal),univariate
99,mprecrat3,peffect,0.045239932858102336,Prec (Log-normal),univariate
99,mprecrat3,predicted,0.01464162017722304,Prec (Log-normal),univariate
100,mprecrat3,peffect,0.046471032875128854,Prec (Log-normal),univariate
100,mprecrat3,predicted,0.01504005796681951,Prec (Log-normal),univariate
101,mprecrat3,peffect,0.04771738597666528,Prec (Log-normal),univariate
101,mprecrat3,predicted,0.015443432321433125,Prec (Log-normal),univariate
102,mprecrat3,peffect,0.04897885988955918,Prec (Log-normal),univariate
102,mprecrat3,predicted,0.01585170043168873,Prec (Log-normal),univariate
103,mprecrat3,peffect,0.05025532081286241,Prec (Log-normal),univariate
103,mprecrat3,predicted,0.01626481899374968,Prec (Log-normal),univariate
104,mprecrat3,peffect,0.05154663351875302,Prec (Log-normal),univariate
104,mprecrat3,predicted,0.016682744241980598,Prec (Log-normal),univariate
105,mprecrat3,peffect,0.05285266145006705,Prec (Log-normal),univariate
105,mprecrat3,predicted,0.017105431980512897,Prec (Log-normal),univariate
106,mprecrat3,peffect,0.05417326681453253,Prec (Log-normal),univariate
106,mprecrat3,predicted,0.017532837613743052,Prec (Log-normal),univariate
107,mprecrat3,peffect,0.05550831067579645,Prec (Log-normal),univariate
107,mprecrat3,predicted,0.017964916175792878,Prec (Log-normal),univariate
108,mprecrat3,peffect,0.05685765304133152,Prec (Log-normal),univariate
108,mprecrat3,predicted,0.01840162235896003,Prec (Log-normal),univariate
109,mprecrat3,peffect,0.05822115294731207,Prec (Log-normal),univariate
109,mprecrat3,predicted,0.01884291054118754,Prec (Log-normal),univariate
110,mprecrat3,peffect,0.05959866854054157,Prec (Log-normal),univariate
110,mprecrat3,predicted,0.01928873481257914,Prec (Log-normal),univariate
111,mprecrat3,peffect,0.06099005715751766,Prec (Log-normal),univariate
111,mprecrat3,predicted,0.019739049000988176,Prec (Log-normal),univariate
112,mprecrat3,peffect,0.06239517540071545,Prec (Log-normal),univariate
112,mprecrat3,predicted,0.020193806696706205,Prec (Log-normal),univariate
113,mprecrat3,peffect,0.06381387921216862,Prec (Log-normal),univariate
113,mprecrat3,predicted,0.020652961276277065,Prec (Log-normal),univariate
114,mprecrat3,peffect,0.06524602394442859,Prec (Log-normal),univariate
114,mprecrat3,predicted,0.021116465925462364,Prec (Log-normal),univariate
115,mprecrat3,peffect,0.06669146442897571,Prec (Log-normal),univariate
