sp_elev,sp_code,elev_code,year,mean,sd,se,cv,median,sum,min,max,n,iv
pinaster_high,pinaster,high,2021,0.6597328503374075,0.0692618150195419,0.013583359474288384,10.498463883391482,0.6766862187324708,17.153054108772597,0.4394476799346091,0.7354709088813137,26,ndvi
pinaster_high,pinaster,high,2022,0.6667637271447255,0.052372215259658725,0.012015010198221638,7.854688719185678,0.6617437975403426,12.668510815749787,0.5355521823334555,0.7572576342466184,19,ndvi
pinaster_low,pinaster,low,1986,0.49074042301079035,0.013945300384437191,0.009860816467518905,2.841685691771628,0.49074042301079035,0.9814808460215807,0.48087960654327144,0.5006012394783093,2,ndvi
pinaster_low,pinaster,low,1987,0.4970939550733604,0.08900256054373759,0.025692826144246433,17.90457510806035,0.46156104862744485,5.965127460880324,0.3715205234661853,0.6421908416630011,12,ndvi
pinaster_low,pinaster,low,1988,0.48291305437938026,0.08697700090614184,0.028992333635380615,18.010902815191248,0.5081697425649464,4.346217489414422,0.3610034344935629,0.6005424566303239,9,ndvi
pinaster_low,pinaster,low,1989,0.42739410534510447,0.03720295694106804,0.015188043571391734,8.704602257213647,0.4246883856089175,2.564364632070627,0.3838289656988034,0.48247140904840663,6,ndvi
pinaster_low,pinaster,low,1990,0.4827387157511661,0.07605933738879227,0.022932753083788525,15.755798096790322,0.4530314984523884,5.310125873262828,0.4050826089841418,0.6507375003948075,11,ndvi
pinaster_low,pinaster,low,1991,0.42213994708732916,0.11454844770062741,0.05122762315513647,27.135183128482858,0.3760193592177619,2.1106997354366457,0.3078092774495752,0.6070208757715458,5,ndvi
pinaster_low,pinaster,low,1992,0.45166071970223015,0.048365442252678886,0.016121814084226294,10.708356990744102,0.448168776371308,4.064946477320071,0.38778020119719064,0.5429329903255381,9,ndvi
pinaster_low,pinaster,low,1993,0.43033448282229647,0.04918743357647549,0.018591102410408927,11.430046984356371,0.4396293956622449,3.0123413797560756,0.35101153055447976,0.4976997020210205,7,ndvi
pinaster_low,pinaster,low,1994,0.4390119410804015,0.09910606381864029,0.026487209697221792,22.574799121577836,0.45502798050888804,6.14616717512562,0.297792498707664,0.5638102148169263,14,ndvi
pinaster_low,pinaster,low,1995,0.40079607600905975,0.09892964569141548,0.04038785872971604,24.683286991357477,0.38407803588043044,2.4047764560543587,0.27556287265284335,0.5257663992967807,6,ndvi
pinaster_low,pinaster,low,1996,0.4437695110240058,0.07984211233791472,0.024073302644933518,17.991797623427907,0.4138060959406666,4.881464621264064,0.3745555074864674,0.6408733207012512,11,ndvi
pinaster_low,pinaster,low,1997,0.47329210434083524,0.03676856048911657,0.015010701962498981,7.76868241660718,0.4752081695600148,2.8397526260450117,0.4326413534931207,0.5303683226278559,6,ndvi
pinaster_low,pinaster,low,1998,0.6191570747467293,0.08082316604055424,0.024369101465919352,13.053741826920987,0.6310633689739727,6.810727822214021,0.4904608330742928,0.7631853625590963,11,ndvi
pinaster_low,pinaster,low,1999,0.5482741660044628,0.09433305708029927,0.023583264270074816,17.205453572206324,0.5222169590765583,8.772386656071406,0.3884428124891063,0.690012609801449,16,ndvi
pinaster_low,pinaster,low,2000,0.5321922163034679,0.08449216694712726,0.017246891356876008,15.876250038754405,0.501345983346744,12.772613191283229,0.4286657174915377,0.7372804907385134,24,ndvi
pinaster_low,pinaster,low,2001,0.5375250728446843,0.0973785358022336,0.02295234100259213,18.11609182933328,0.5121585562765094,9.675451311204316,0.4126185838735622,0.7599975494325404,18,ndvi
pinaster_low,pinaster,low,2002,0.5312984923782942,0.1025005890417926,0.02739443472406453,19.292467513499044,0.5033450079003097,7.4381788932961195,0.3748039190474967,0.7352516235000685,14,ndvi
pinaster_low,pinaster,low,2003,0.5505244916166497,0.08581335002148817,0.02587369854770116,15.587562647665662,0.5381125820592789,6.0557694077831465,0.41931938964852544,0.6916774537424807,11,ndvi
pinaster_low,pinaster,low,2004,0.5968238021113287,0.07094463244088499,0.01967650076804283,11.887031346590181,0.595940036117578,7.758709427447272,0.5014310354631438,0.7221097718636146,13,ndvi
pinaster_low,pinaster,low,2005,0.5196302574802514,0.10797665190215067,0.02545034092327669,20.77951588611145,0.5022894403511381,9.353344634644523,0.36515258146298446,0.7065565863761454,18,ndvi
pinaster_low,pinaster,low,2006,0.5138237838847487,0.07092870026423581,0.02242962443103719,13.804090524572759,0.5088090775081869,5.138237838847487,0.41693753219303376,0.6871073436137914,10,ndvi
pinaster_low,pinaster,low,2007,0.49639108499301937,0.09512859114850315,0.023072072313027985,19.16404102016476,0.5065803500474871,8.438648444881329,0.36632873701747554,0.6466969817373772,17,ndvi
pinaster_low,pinaster,low,2008,0.4767054298198258,0.06959713553296842,0.020090962467393093,14.599610404956612,0.4905197833897415,5.720465157837909,0.3367130166087292,0.5886697791094699,12,ndvi
pinaster_low,pinaster,low,2009,0.4993401109583223,0.0692072006666934,0.01547520052231952,13.859731903746427,0.4805246542904933,9.986802219166444,0.407904842553024,0.6280148022289738,20,ndvi
pinaster_low,pinaster,low,2010,0.5364622094523034,0.0668134531950548,0.018530717798891032,12.454456626733771,0.5173101175704812,6.974008722879942,0.46730660539068064,0.6815322009416535,13,ndvi
pinaster_low,pinaster,low,2011,0.622544793918037,0.0590062521817066,0.016365389831854003,9.478233977405207,0.6125819570088805,8.09308232093448,0.5251212291629086,0.7192869502233311,13,ndvi
pinaster_low,pinaster,low,2012,0.5916561546753895,0.09529541735636167,0.026430193353469463,16.10655388325086,0.6138505960205378,7.691530010780063,0.4124988709796612,0.7142693360466618,13,ndvi
pinaster_low,pinaster,low,2013,0.626083837904844,0.07230627660247624,0.01753684798983155,11.54897670644962,0.6029131525820266,10.643425244382351,0.5378654136903953,0.7763218768188398,17,ndvi
pinaster_low,pinaster,low,2014,0.6104470873211848,0.07324564830939412,0.014096131589465783,11.998689129768286,0.5868832836195494,16.48207135767199,0.5056627496494027,0.763116949777842,27,ndvi
pinaster_low,pinaster,low,2015,0.5938761609736052,0.09684080554248982,0.022216804472146665,16.30656556136691,0.6067352451008563,11.283647058498499,0.4347468494362149,0.7512468539135,19,ndvi
pinaster_low,pinaster,low,2016,0.5255767344939226,0.09827143844004704,0.02005957337228698,18.697828878341145,0.5086298149830167,12.613841627854145,0.37136499654722627,0.7187854393278709,24,ndvi
pinaster_low,pinaster,low,2017,0.5188088177929896,0.0663499957921571,0.013834930495291015,12.788910580666244,0.507995488023356,11.932602809238762,0.3972377879662649,0.6370201952654809,23,ndvi
pinaster_low,pinaster,low,2018,0.6057254595508381,0.10332923497938239,0.02370535227307873,17.058757123401058,0.5558669919945151,11.508783731465924,0.453489310205728,0.7940263419632901,19,ndvi
pinaster_low,pinaster,low,2019,0.6046709395100344,0.08114314667430156,0.01622862933486031,13.419389187125802,0.5903859433745108,15.11677348775086,0.44542878662888713,0.7400444418455062,25,ndvi
pinaster_low,pinaster,low,2020,0.5962745197709268,0.07781515394878562,0.0162255812303921,13.050222903819567,0.5816010968884796,13.714313954731317,0.44385129610926755,0.748334157767626,23,ndvi
pinaster_low,pinaster,low,2021,0.5691473146470449,0.08656698676811063,0.018050464522639132,15.209943812489898,0.5835069589132428,13.090388236882028,0.3554142919772031,0.6997942712454502,23,ndvi
pinaster_low,pinaster,low,2022,0.5618522436637281,0.0764697627782084,0.018546641711792884,13.610297661101093,0.5488034641767894,9.551488142283377,0.4254713505910719,0.689433926483138,17,ndvi
pinaster_low-Dec,pinaster,low-Dec,1986,0.35657779675838375,NA,NA,NA,0.35657779675838375,0.35657779675838375,0.35657779675838375,0.35657779675838375,1,ndvi
pinaster_low-Dec,pinaster,low-Dec,1987,0.3618338880312738,0.07645363833019672,0.022070264335232685,21.12948534096086,0.34447889282282196,4.342006656375286,0.2579164094802438,0.4952925604974653,12,ndvi
pinaster_low-Dec,pinaster,low-Dec,1988,0.4076738447910236,0.09627472730802716,0.032091575769342386,23.615625220543212,0.4060789288992065,3.669064603119212,0.27878845065106633,0.5409836065573771,9,ndvi
pinaster_low-Dec,pinaster,low-Dec,1989,0.3535862499908972,0.0429126521629136,0.019191121466215637,12.13640297495119,0.34171050599213165,1.7679312499544861,0.3230159569863515,0.42876466888949544,5,ndvi
pinaster_low-Dec,pinaster,low-Dec,1990,0.3792193532937386,0.05710005598586602,0.018056623143846783,15.057263161787269,0.35130809343000857,3.792193532937386,0.3290615879667739,0.481183278818159,10,ndvi
pinaster_low-Dec,pinaster,low-Dec,1991,0.3690503055464108,0.12098849385794963,0.05410769935233823,32.78374033014707,0.3243661663995339,1.8452515277320538,0.28520669811067456,0.5829931588172105,5,ndvi
pinaster_low-Dec,pinaster,low-Dec,1992,0.37952357717501467,0.048716876262440895,0.01722401678169895,12.836324063201863,0.37778492948004644,3.0361886174001174,0.3205799785836253,0.4760652522731323,8,ndvi
pinaster_low-Dec,pinaster,low-Dec,1993,0.35961290991337586,0.05848893555068967,0.022106739702287076,16.26441485784773,0.3258331270116365,2.517290369393631,0.30561283791383886,0.4447800161516932,7,ndvi
